property_id,full_address,address_line1,address_line2,city,state,state_fips,zip_code,county,county_fips,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,features,tax_assessments,property_taxes,lot_size,assessor_id,legal_description,subdivision,owner,owner_occupied
"3501-Shoreline-Dr,-Austin,-TX-78728","3501 Shoreline Dr, Austin, TX 78728",3501 Shoreline Dr,,Austin,TX,48,78728,Travis,453,30.455183,-97.68666,Apartment,1.0,1.0,782.0,2001.0,,,,,,,,,
"1143-Shady-Ln,-Austin,-TX-78721","1143 Shady Ln, Austin, TX 78721",1143 Shady Ln,,Austin,TX,48,78721,Travis,453,30.26251,-97.689888,Apartment,2.0,2.0,1167.0,2018.0,,,,,,,,,
"11301-Farrah-Ln,-Austin,-TX-78748","11301 Farrah Ln, Austin, TX 78748",11301 Farrah Ln,,Austin,TX,48,78748,Travis,453,30.140304,-97.799771,Apartment,1.0,1.0,582.0,2013.0,,,,,,,,,
"13201-Legendary-Dr,-Austin,-TX-78727","13201 Legendary Dr, Austin, TX 78727",13201 Legendary Dr,,Austin,TX,48,78727,Travis,453,30.43803,-97.73192,Apartment,1.0,1.0,668.0,2016.0,,,,,,,,,
"2126-Goodrich-Ave,-Austin,-TX-78704","2126 Goodrich Ave, Austin, TX 78704",2126 Goodrich Ave,,Austin,TX,48,78704,Travis,453,30.248253,-97.773939,Apartment,,,,2019.0,,,,,,,,,
"5705-Diehl-Trl,-Austin,-TX-78727","5705 Diehl Trl, Austin, TX 78727",5705 Diehl Trl,,Austin,TX,48,78727,Travis,453,30.434874,-97.74155,Apartment,1.0,1.0,713.0,2017.0,,,,,,,,,
"507-Pressler-St,-Austin,-TX-78703","507 Pressler St, Austin, TX 78703",507 Pressler St,,Austin,TX,48,78703,Travis,453,30.27282,-97.76,Apartment,0.0,1.0,612.0,2009.0,,,,,,,,,
"5020-Manor-Rd,-Austin,-TX-78723","5020 Manor Rd, Austin, TX 78723",5020 Manor Rd,,Austin,TX,48,78723,Travis,453,30.29792,-97.68753,Apartment,2.0,1.5,990.0,,{'unitCount': 62},,,,,,,,
"9009-N-Fm-620-Rd,-Austin,-TX-78726","9009 N Fm 620 Rd, Austin, TX 78726",9009 N Fm 620 Rd,,Austin,TX,48,78726,Travis,453,30.432086,-97.840106,Apartment,1.0,1.0,711.0,2001.0,,,,,,,,,
"3101-Wells-Branch-Pkwy,-Austin,-TX-78728","3101 Wells Branch Pkwy, Austin, TX 78728",3101 Wells Branch Pkwy,,Austin,TX,48,78728,Travis,453,30.439961,-97.694018,Apartment,1.0,1.0,707.0,1995.0,,,,,,,,,
